iter	Passed	Remaining
399	45735	68602
400	45886	68543
401	46043	68492
402	46188	68423
403	46308	68316
404	46433	68217
405	46566	68128
406	46681	68015
407	46810	67920
408	46928	67810
409	47055	67713
410	47188	67625
411	47321	67537
412	47466	67464
413	47622	67407
414	47749	67309
415	47869	67201
416	47991	67096
417	48090	66957
418	48210	66850
419	48349	66769
420	48490	66689
421	48613	66584
422	48731	66473
423	48852	66365
424	48956	66235
425	49083	66136
426	49207	66032
427	49334	65933
428	49450	65818
429	49579	65721
430	49694	65605
431	49797	65475
432	49928	65379
433	50061	65287
434	50179	65175
435	50291	65055
436	50446	64991
437	50610	64938
438	50804	64923
439	50934	64826
440	51070	64735
441	51189	64623
442	51317	64522
443	51489	64478
444	51616	64375
445	51742	64272
446	51858	64156
447	51963	64026
448	52075	63906
449	52196	63795
450	52311	63678
451	52433	63569
452	52586	63498
453	52703	63383
454	52821	63270
455	52929	63144
456	53037	63017
457	53159	62909
458	53272	62790
459	53395	62681
460	53498	62549
461	53613	62432
462	53734	62322
463	53862	62220
464	54012	62142
465	54148	62049
466	54281	61952
467	54394	61832
468	54515	61722
469	54629	61603
470	54729	61468
471	54854	61362
472	54978	61255
473	55099	61144
474	55212	61024
475	55314	60892
476	55423	60768
477	55553	60667
478	55685	60568
479	55791	60440
480	55889	60304
481	56010	60194
482	56135	60086
483	56244	59963
484	56351	59837
485	56455	59707
486	56561	59581
487	56670	59457
488	56768	59322
489	56868	59189
490	56998	59088
491	57133	58991
492	57260	58886
493	57427	58822
494	57562	58725
495	57664	58594
496	57784	58481
497	57888	58353
498	57987	58219
499	58117	58117
500	58226	57993
501	58338	57873
502	58437	57740
503	58538	57609
504	58640	57478
505	58728	57335
506	58829	57205
507	58937	57080
508	59045	56957
509	59181	56860
510	59313	56759
511	59444	56658
512	59557	56539
513	59660	56410
514	59753	56273
515	59853	56141
516	59948	56006
517	60045	55872
518	60169	55763
519	60280	55643
520	60395	55526
521	60508	55408
522	60617	55285
523	60721	55159
524	60846	55051
525	60997	54967
526	61107	54846
527	61221	54728
528	61354	54627
529	61477	54518
530	61589	54398
531	61693	54271
532	61784	54133
533	61876	53997
534	61966	53858
535	62062	53725
536	62164	53598
537	62253	53459
538	62384	53356
539	62508	53248
540	62648	53152
541	62771	53042
542	62870	52913
543	62965	52779
544	63066	52651
545	63167	52524
546	63261	52390
547	63377	52275
548	63488	52155
549	63597	52034
550	63697	51905
551	63795	51776
552	63900	51652
553	64000	51523
554	64104	51398
555	64216	51281
556	64352	51181
557	64491	51084
558	64606	50968
559	64729	50859
560	64827	50729
561	64918	50595
562	65024	50472
563	65143	50359
564	65248	50235
565	65355	50113
566	65464	49992
567	65562	49864
568	65651	49728
569	65745	49597
570	65840	49467
571	65927	49330
572	66022	49199
573	66137	49084
574	66288	48995
575	66399	48877
576	66514	48761
577	66649	48661
578	66762	48544
579	66873	48425
580	66976	48301
581	67080	48177
582	67179	48050
583	67266	47916
584	67372	47794
585	67468	47665
586	67579	47547
587	67684	47425
588	67788	47302
589	67923	47200
590	68081	47115
591	68203	47005
592	68320	46890
593	68428	46770
594	68528	46645
595	68624	46517
596	68710	46382
597	68803	46252
598	68920	46138
599	69046	46030
600	69153	45910
601	69256	45787
602	69357	45663
603	69461	45541
604	69581	45429
605	69709	45322
606	69823	45207
607	69938	45091
608	70057	44979
609	70162	44857
610	70274	44740
611	70385	44623
612	70493	44504
613	70604	44386
614	70720	44272
615	70828	44152
616	70947	44040
617	71090	43942
618	71217	43835
619	71340	43724
620	71468	43617
621	71590	43506
622	71701	43389
623	71801	43264
624	71912	43147
625	72040	43040
626	72147	42920
627	72256	42801
628	72353	42676
629	72457	42554
630	72553	42428
631	72662	42309
632	72768	42189
633	72871	42067
634	72980	41949
635	73111	41843
636	73236	41734
637	73358	41623
638	73469	41506
639	73577	41387
640	73679	41265
641	73784	41144
642	73882	41020
643	73977	40894
644	74072	40768
645	74164	40641
646	74268	40520
647	74366	40396
648	74469	40275
649	74574	40155
650	74678	40034
651	74784	39915
652	74890	39796
653	75000	39679
654	75104	39558
655	75201	39435
656	75306	39315
657	75402	39190
658	75503	39069
659	75608	38950
660	75705	38826
661	75812	38707
662	75905	38582
663	76014	38465
664	76127	38350
665	76244	38236
666	76361	38123
667	76475	38008
668	76593	37896
669	76691	37773
670	76803	37657
671	76911	37540
672	77020	37423
673	77116	37299
674	77227	37183
675	77324	37060
676	77430	36942
677	77540	36825
678	77656	36712
679	77763	36594
680	77856	36470
681	77959	36350
682	78052	36226
683	78158	36108
684	78262	35989
685	78366	35870
686	78483	35757
687	78586	35637
688	78690	35519
689	78788	35397
690	78896	35280
691	78991	35158
692	79091	35037
693	79185	34914
694	79293	34798
695	79407	34683
696	79511	34565
697	79610	34444
698	79723	34330
699	79827	34211
700	79927	34091
701	80030	33973
702	80135	33855
703	80246	33739
704	80355	33623
705	80465	33508
706	80594	33400
707	80709	33286
708	80816	33169
709	80934	33057
710	81044	32942
711	81152	32825
712	81266	32711
713	81369	32593
714	81475	32476
715	81580	32358
716	81688	32242
717	81799	32127
718	81899	32008
719	82008	31892
720	82105	31771
721	82213	31655
722	82313	31536
723	82423	31421
724	82557	31314
725	82656	31195
726	82761	31078
727	82862	30959
728	82973	30844
729	83074	30726
730	83186	30611
731	83311	30502
732	83424	30387
733	83543	30276
734	83653	30160
735	83759	30043
736	83861	29926
737	83967	29809
738	84085	29697
739	84193	29581
740	84314	29470
741	84409	29349
742	84527	29237
743	84640	29123
744	84754	29009
745	84864	28894
746	84986	28783
747	85094	28668
748	85214	28556
749	85328	28442
750	85440	28328
751	85557	28215
752	85678	28104
753	85808	27995
754	85942	27888
755	86074	27780
756	86202	27671
757	86341	27565
758	86486	27461
759	86616	27352
760	86754	27246
761	86882	27136
762	87031	27033
763	87162	26924
764	87286	26813
765	87413	26703
766	87546	26595
767	87657	26479
768	87787	26370
769	87926	26263
770	88055	26154
771	88207	26050
772	88373	25951
773	88521	25847
774	88641	25734
775	88750	25618
776	88847	25499
777	88959	25384
778	89066	25267
779	89169	25150
780	89292	25038
781	89405	24923
782	89527	24811
783	89645	24698
784	89773	24587
785	89883	24472
786	90009	24360
787	90128	24247
788	90254	24136
789	90375	24023
790	90496	23911
791	90626	23800
792	90762	23692
793	90893	23582
794	91046	23477
795	91202	23373
796	91346	23266
797	91483	23157
798	91621	23048
799	91744	22936
800	91854	22820
801	91962	22703
802	92081	22590
803	92200	22476
804	92312	22361
805	92423	22245
806	92529	22129
807	92636	22012
808	92750	21897
809	92871	21784
810	92981	21668
811	93092	21553
812	93235	21445
813	93365	21334
814	93494	21222
815	93607	21107
816	93705	20989
817	93804	20870
818	93903	20752
819	94012	20636
820	94130	20522
821	94265	20412
822	94396	20301
823	94509	20186
824	94626	20072
825	94722	19953
826	94847	19841
827	94996	19733
828	95121	19621
829	95274	19514
830	95388	19399
831	95499	19283
832	95613	19168
833	95713	19050
834	95816	18933
835	95910	18814
836	96014	18698
837	96129	18583
838	96239	18467
839	96370	18356
840	96476	18239
841	96597	18126
842	96728	18014
843	96853	17901
844	96963	17786
845	97058	17667
846	97161	17551
847	97288	17438
848	97427	17328
849	97543	17213
850	97650	17097
851	97742	16978
852	97855	16863
853	97967	16748
854	98074	16632
855	98184	16516
856	98300	16402
857	98442	16292
858	98619	16187
859	98735	16073
860	98828	15954
861	98956	15842
862	99061	15725
863	99171	15610
864	99274	15493
865	99385	15378
866	99486	15261
867	99590	15145
868	99695	15028
869	99794	14911
870	99894	14794
871	99986	14676
872	100095	14561
873	100211	14446
874	100340	14334
875	100472	14222
876	100590	14107
877	100700	13992
878	100792	13874
879	100892	13758
880	100991	13641
881	101085	13523
882	101179	13406
883	101268	13288
884	101377	13173
885	101515	13061
886	101639	12948
887	101765	12835
888	101872	12719
889	101997	12606
890	102146	12495
891	102279	12383
892	102410	12270
893	102553	12159
894	102680	12046
895	102804	11932
896	102915	11817
897	103023	11702
898	103120	11585
899	103215	11468
900	103321	11352
901	103454	11240
902	103606	11129
903	103719	11014
904	103871	10903
905	104012	10791
906	104109	10674
907	104208	10558
908	104304	10441
909	104407	10326
910	104524	10211
911	104677	10100
912	104800	9986
913	104921	9872
914	105026	9756
915	105128	9640
916	105222	9523
917	105339	9409
918	105463	9295
919	105661	9187
920	105781	9073
921	105905	8959
922	106021	8844
923	106164	8732
924	106283	8617
925	106393	8502
926	106492	8386
927	106582	8269
928	106689	8153
929	106796	8038
930	106892	7922
931	106990	7806
932	107104	7691
933	107255	7579
934	107372	7464
935	107486	7349
936	107589	7233
937	107703	7119
938	107812	7003
939	107912	6888
940	108005	6771
941	108110	6656
942	108248	6543
943	108361	6428
944	108463	6312
945	108580	6198
946	108684	6082
947	108796	5967
948	108931	5854
949	109069	5740
950	109171	5625
951	109283	5510
952	109405	5395
953	109525	5281
954	109634	5166
955	109732	5050
956	109830	4934
957	109927	4819
958	110023	4703
959	110145	4589
960	110275	4475
961	110375	4359
962	110492	4245
963	110626	4131
964	110739	4016
965	110837	3901
966	110943	3786
967	111037	3670
968	111139	3555
969	111268	3441
970	111397	3327
971	111515	3212
972	111624	3097
973	111727	2982
974	111823	2867
975	111950	2752
976	112068	2638
977	112194	2523
978	112337	2409
979	112473	2295
980	112591	2180
981	112703	2065
982	112812	1950
983	112939	1836
984	113065	1721
985	113176	1606
986	113283	1492
987	113388	1377
988	113492	1262
989	113597	1147
990	113702	1032
991	113802	917
992	113901	802
993	114007	688
994	114111	573
995	114221	458
996	114367	344
997	114486	229
998	114602	114
999	114700	0
